Pair Index,Match File,Evasion File,Match Cmd,Evasion Cmd,Match Cmd Type,Evasion Cmd Type
49,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"""C:\Windows\system32\NOTEPAD.EXE"" C:\ProgramData\winlogbeat\logs\winlogbeat",C:\Windows\system32\imdsksvc.exe,Windows,Windows
54,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"{'entity_id': '{19FC45AC-5A6A-601C-0000-001084771000}', 'pid': 1344, 'command_line': 'cmd.exe /c assoc .txt = txtfile', 'working_directory': 'C:\\ProgramData\\winlogbeat\\logs\\', 'executable': 'C:\\Windows\\System32\\notepad.exe', 'parent': {'entity_id': '{19FC45AC-5A69-601C-0000-001089681000}', 'pid': 3212, 'executable': 'C:\\Windows\\System32\\rundll32.exe', 'command_line': '""C:\\Windows\\system32\\rundll32.exe"" C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL C:\\ProgramData\\winlogbeat\\logs\\winlogbeat', 'name': 'rundll32.exe', 'args': ['C:\\Windows\\system32\\rundll32.exe', 'C:\\Windows\\system32\\shell32.dll,OpenAs_RunDLL', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat']}, 'name': 'notepad.exe', 'args': ['C:\\Windows\\system32\\NOTEPAD.EXE', 'C:\\ProgramData\\winlogbeat\\logs\\winlogbeat'], 'hash': {'md5': 'd378bffb70923139d6a4f546864aa61c', 'sha256': 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'}}","{'entity_id': '{19FC45AC-7530-601C-0000-001074350100}', 'executable': 'C:\\Windows\\System32\\imdsksvc.exe', 'command_line': 'cmd /""c"" assoc .txt=txtfile', 'parent': {'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe'], 'entity_id': '{19FC45AC-752D-601C-0000-0010F4630000}', 'pid': 440}, 'name': 'imdsksvc.exe', 'hash': {'md5': '73dcb33604ab86bcd4caa90346d73b49', 'sha256': 'db47a54ac39c5831f4fa8b678b5738b6bd304f6002d9fc0256f055abe7a9d969'}, 'pid': 1424, 'working_directory': 'C:\\Windows\\system32\\', 'args': ['C:\\Windows\\system32\\imdsksvc.exe']}",Windows,Windows
63,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"{'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'wmic process call create ""rundll32 C:\\Another\\Path\\To\\another.dll"", StartW', 'working_directory': 'C:\\Windows\\system32', 'parent': {'pid': 340, 'executable': 'C:\\Windows\\System32\\smss.exe', 'command_line': '\\SystemRoot\\System32\\smss.exe 00000001 0000003c ', 'name': 'smss.exe', 'args': ['\\SystemRoot\\System32\\smss.exe', '00000001', '0000003c'], 'entity_id': '{19FC45AC-74C2-601C-0000-00103E580000}'}, 'args': ['winlogon.exe'], 'hash': {'md5': '6d13e1406f50c66e2a95d97f22c47560', 'sha256': 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271'}, 'pid': 384, 'name': 'winlogon.exe', 'entity_id': '{19FC45AC-74C2-601C-0000-0010CE5B0000}'}","{'entity_id': '{19FC45AC-74C7-601C-0000-0010A7240100}', 'pid': 1376, 'command_line': 'wmic process ""call"" create ""rundll32 C:\\Another\\Path\\To\\another.dll"", StartW', 'working_directory': 'C:\\Windows\\system32\\', 'args': ['C:\\Windows\\Explorer.EXE'], 'executable': 'C:\\Windows\\explorer.exe', 'parent': {'entity_id': '{19FC45AC-74C7-601C-0000-0010DB1E0100}', 'pid': 1328, 'executable': 'C:\\Windows\\System32\\userinit.exe', 'command_line': 'C:\\Windows\\system32\\userinit.exe', 'name': 'userinit.exe', 'args': ['C:\\Windows\\system32\\userinit.exe']}, 'name': 'explorer.exe', 'hash': {'md5': '40d777b7a95e00593eb1568c68514493', 'sha256': '0a8ce026714e03e72c619307bd598add5f9b639cfd91437cb8d9c847bf9f6894'}}",Windows,Windows
65,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,winlogon.exe,C:\Windows\Explorer.EXE,Windows,Windows
73,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"{'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'wmic process call create ""rundll32 C:\\Another\\Path\\To\\another.dll"", StartW', 'working_directory': 'C:\\Windows\\system32', 'parent': {'pid': 340, 'executable': 'C:\\Windows\\System32\\smss.exe', 'command_line': '\\SystemRoot\\System32\\smss.exe 00000001 0000003c ', 'name': 'smss.exe', 'args': ['\\SystemRoot\\System32\\smss.exe', '00000001', '0000003c'], 'entity_id': '{19FC45AC-74C2-601C-0000-00103E580000}'}, 'args': ['winlogon.exe'], 'hash': {'md5': '6d13e1406f50c66e2a95d97f22c47560', 'sha256': 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271'}, 'pid': 384, 'name': 'winlogon.exe', 'entity_id': '{19FC45AC-74C2-601C-0000-0010CE5B0000}'}","{'parent': {'executable': 'C:\\Program Files\\Python35-32\\python.exe', 'command_line': 'python C:\\BREACH\\userbehavior.pex --use-breach-setup', 'name': 'python.exe', 'args': ['python', 'C:\\BREACH\\userbehavior.pex', '--use-breach-setup'], 'entity_id': '{19FC45AC-753C-601C-0000-0010B6CB0200}', 'pid': 2620}, 'name': 'firefox.exe', 'hash': {'md5': '923fe895b22b22a9ca03c72f3d15ce20', 'sha256': '98b7f5b40c557775cd645ca69b788fe4a3deae25cdb6e5dd4fb94db1bdc10969'}, 'entity_id': '{19FC45AC-757B-601C-0000-00103C6D0300}', 'executable': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'command_line': 'wmic ""process"" ""call"" ""create"" ""rundll32 C:\\And\\Another\\Path\\To\\yetanother.dll"", StartW', 'pid': 3004, 'working_directory': 'C:\\BREACH\\', 'args': ['C:\\Program Files\\Mozilla Firefox\\firefox.exe', '-foreground']}",Windows,Windows
75,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,winlogon.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" -foreground",Windows,Windows
83,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"{'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'wmic process call create ""rundll32 C:\\Another\\Path\\To\\another.dll"", StartW', 'working_directory': 'C:\\Windows\\system32', 'parent': {'pid': 340, 'executable': 'C:\\Windows\\System32\\smss.exe', 'command_line': '\\SystemRoot\\System32\\smss.exe 00000001 0000003c ', 'name': 'smss.exe', 'args': ['\\SystemRoot\\System32\\smss.exe', '00000001', '0000003c'], 'entity_id': '{19FC45AC-74C2-601C-0000-00103E580000}'}, 'args': ['winlogon.exe'], 'hash': {'md5': '6d13e1406f50c66e2a95d97f22c47560', 'sha256': 'be40e84a824cb201f9c54db4f860f3937630fda3423940d44fcf4ac5dff44271'}, 'pid': 384, 'name': 'winlogon.exe', 'entity_id': '{19FC45AC-74C2-601C-0000-0010CE5B0000}'}","{'parent': {'entity_id': '{19FC45AC-76D8-601C-0000-0010F1630000}', 'pid': 444, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'svchost.exe', 'hash': {'md5': '54a47f6b5e09a77e61649109c6a08866', 'sha256': '121118a0f5e0e8c933efd28c9901e54e42792619a8a3a6d11e1f0025a7324bc2'}, 'entity_id': '{19FC45AC-76DA-601C-0000-0010DD3C0100}', 'pid': 1568, 'command_line': 'wmic ""process"" call create ""rundll32 C:\\PathTo\\my.dll"", StartW', 'working_directory': 'C:\\Windows\\system32\\', 'executable': 'C:\\Windows\\System32\\svchost.exe', 'args': ['C:\\Windows\\system32\\svchost.exe', '-k', 'ftpsvc']}",Windows,Windows
85,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,winlogon.exe,C:\Windows\system32\svchost.exe -k ftpsvc,Windows,Windows
88,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"""C:\Program Files\Winlogbeat\winlogbeat.exe"" --environment=windows_service -c ""C:\Program Files\Winlogbeat\winlogbeat.yml"" --path.home ""C:\Program Files\Winlogbeat"" --path.data ""C:\ProgramData\winlogbeat"" --path.logs ""C:\ProgramData\winlogbeat\logs"" -E logging.files.redirect_stderr=true",C:\Windows\system32\svchost.exe -k LocalService,Windows,Windows
93,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_02.json,"{'entity_id': '{19FC45AC-7769-601C-0000-0010A59B0300}', 'executable': 'C:\\Program Files\\Winlogbeat\\winlogbeat.exe', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-76E7-601C-0000-001081630000}', 'pid': 440, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'winlogbeat.exe', 'args': ['C:\\Program Files\\Winlogbeat\\winlogbeat.exe', '--environment=windows_service', '-c', 'C:\\Program Files\\Winlogbeat\\winlogbeat.yml', '--path.home', 'C:\\Program Files\\Winlogbeat', '--path.data', 'C:\\ProgramData\\winlogbeat', '--path.logs', 'C:\\ProgramData\\winlogbeat\\logs', '-E', 'logging.files.redirect_stderr=true'], 'hash': {'md5': '0d17999868f2768b1b050cb051884110', 'sha256': 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023'}, 'pid': 3588, 'command_line': 'reg.exe add HKLM\\SYSTEM\\CurrentControlSet\\Services\\VSS\\Diag\\Volsnap /ve /f /d Disabled'}","{'entity_id': '{19FC45AC-74F8-601C-0000-0010CFF30000}', 'pid': 988, 'command_line': 'reg.exe ""add"" HKLM\\SYSTEM\\CurrentControlSet\\Ser""vice""s\\VSS\\D""ia""g\\Volsnap /ve /f /d Disabled', 'parent': {'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe'], 'entity_id': '{19FC45AC-74F7-601C-0000-0010FE630000}', 'pid': 444, 'executable': 'C:\\Windows\\System32\\services.exe'}, 'args': ['C:\\Windows\\system32\\svchost.exe', '-k', 'LocalService'], 'executable': 'C:\\Windows\\System32\\svchost.exe', 'working_directory': 'C:\\Windows\\system32\\', 'name': 'svchost.exe', 'hash': {'md5': '54a47f6b5e09a77e61649109c6a08866', 'sha256': '121118a0f5e0e8c933efd28c9901e54e42792619a8a3a6d11e1f0025a7324bc2'}}",Windows,Windows
98,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"""C:\Program Files\Winlogbeat\winlogbeat.exe"" --environment=windows_service -c ""C:\Program Files\Winlogbeat\winlogbeat.yml"" --path.home ""C:\Program Files\Winlogbeat"" --path.data ""C:\ProgramData\winlogbeat"" --path.logs ""C:\ProgramData\winlogbeat\logs"" -E logging.files.redirect_stderr=true","""C:\Program Files\Mozilla Maintenance Service\update\updater.exe"" C:\Users\client1\AppData\Local\Mozilla\updates\308046B0AF4A39CB\updates\0 ""C:\Program Files\Mozilla Firefox"" ""C:\Program Files\Mozilla Firefox\updated"" -1",Windows,Windows
103,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_03.json,"{'entity_id': '{19FC45AC-7769-601C-0000-0010A59B0300}', 'executable': 'C:\\Program Files\\Winlogbeat\\winlogbeat.exe', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-76E7-601C-0000-001081630000}', 'pid': 440, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'winlogbeat.exe', 'args': ['C:\\Program Files\\Winlogbeat\\winlogbeat.exe', '--environment=windows_service', '-c', 'C:\\Program Files\\Winlogbeat\\winlogbeat.yml', '--path.home', 'C:\\Program Files\\Winlogbeat', '--path.data', 'C:\\ProgramData\\winlogbeat', '--path.logs', 'C:\\ProgramData\\winlogbeat\\logs', '-E', 'logging.files.redirect_stderr=true'], 'hash': {'md5': '0d17999868f2768b1b050cb051884110', 'sha256': 'e72f5dba2a177397403965a3352f0cc45ec46a568a53d5ef4535fbba18e73023'}, 'pid': 3588, 'command_line': 'reg.exe add HKLM\\SYSTEM\\CurrentControlSet\\Services\\VSS\\Diag\\Volsnap /ve /f /d Disabled'}","{'working_directory': 'C:\\Windows\\system32\\', 'hash': {'md5': 'd355e37797728119590b404fc834c0f3', 'sha256': '45005980af153f62aa1cb8ff4c72bafddccf95d94a05e26b0a35416efdf2174a'}, 'entity_id': '{19FC45AC-06C2-601D-0000-0010E3845F00}', 'pid': 1208, 'executable': 'C:\\Program Files\\Mozilla Maintenance Service\\update\\updater.exe', 'command_line': 'r""eg"".exe a""d""d HKLM\\SYSTEM\\CurrentControlSet\\Se""rvi""ces\\V""SS""\\D""ia""g\\Volsnap /ve /f /""d"" Di""sable""d', 'parent': {'args': ['C:\\Program Files\\Mozilla Maintenance Service\\maintenanceservice.exe'], 'entity_id': '{19FC45AC-06B8-601D-0000-0010546A5F00}', 'pid': 3320, 'executable': 'C:\\Program Files\\Mozilla Maintenance Service\\maintenanceservice.exe', 'command_line': '""C:\\Program Files\\Mozilla Maintenance Service\\maintenanceservice.exe""', 'name': 'maintenanceservice.exe'}, 'name': 'updater.exe', 'args': ['C:\\Program Files\\Mozilla Maintenance Service\\update\\updater.exe', 'C:\\Users\\client1\\AppData\\Local\\Mozilla\\updates\\308046B0AF4A39CB\\updates\\0', 'C:\\Program Files\\Mozilla Firefox', 'C:\\Program Files\\Mozilla Firefox\\updated', '-1']}",Windows,Windows
107,Microsoft-Windows-Sysmon_1_Match_02.json,Microsoft-Windows-Sysmon_1_Evasion_Cmdline_01.json,"""C:\Program Files\Winlogbeat\winlogbeat.exe"" --environment=windows_service -c ""C:\Program Files\Winlogbeat\winlogbeat.yml"" --path.home ""C:\Program Files\Winlogbeat"" --path.data ""C:\ProgramData\winlogbeat"" --path.logs ""C:\ProgramData\winlogbeat\logs"" -E logging.files.redirect_stderr=true","""C:\Windows\py.exe"" ""C:\BREACH\create_filing_dir.py""",Windows,Windows
