Folder,CommandLine
win_apt_elise,"C:\Windows\system32\rundll32.exe" C:\Users\admin\AppData\Roaming\MICROS\~1\Windows\Caches\NavShExt.dll Setting
win_apt_elise,"C:\Windows\system32\cmd.exe" /c del C:\Users\$User\AppData\Roaming\MICROS~1\Windows\Caches\NavShExt.dll > nul
win_apt_elise,"C:\Windows\system32\cmd.exe" /c del C:\Users\$User\AppData\Roaming\MICROS~1\Windows\Caches\NavShExt.dll  
win_apt_elise,"C:\Windows\System32\cmd.exe" /c del C:\Users\$User\AppData\Roaming\MICROS~1\Windows\Caches\NavShExt.dll>nul
win_apt_elise,"C:\Windows\system32\rundll32.exe" C:\Users\admin\AppData\Roaming\MICROS\~1\Windows\Caches\NavShExt.dll; Setting
win_apt_elise,"C:\Windows\system32\rundll32.exe" C:\Users\admin\AppData\Roaming\MICROS\~1\Windows\Caches\NavShExt.dll;Setting
win_apt_equationgroup_dll_u_load,"C:\Windows\System32\rundll32.exe" C:\Users\DefaultUser\AppData\SomeLib.dll dll_u
win_apt_equationgroup_dll_u_load,"C:\Windows\System32\rundll32.exe" C:\Users\DefaultUser\AppData\SomeLib.dll;  dll_u
win_apt_equationgroup_dll_u_load,"C:\Windows\system32\rundll32.exe" C:\Users\DefaultUser\AppData\SomeLib.dll;dll_u
win_apt_equationgroup_dll_u_load,"C:\Windows\System32\rundll32.exe" C:\Users\DefaultUser\AppData\SomeLib.dll; dll_u
win_apt_hurricane_panda,Win64.exe "net localgroup administrators admin /add"
win_apt_hurricane_panda,net "localgroup" "administrators" "admin" "/add"
win_apt_hurricane_panda,net loca""lgroup "administrators" "admin" /add
win_apt_hurricane_panda,net localgroup administrators admin /add
win_apt_hurricane_panda,net loca""lgroup  administrators admin /add
win_apt_hurricane_panda,"C:\ProgramData\Win64.exe" "net localgroup administrators admin /add"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\DisableFirstRunCustomize -PropertyType DWORD -name 'DisableFirstRunCustomize' -value 2 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\DisableFirstRunCustomize -name 'DisableFirstRunCustomize' -PropertyType DWORD -value 2 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\  -name 'Check_Associations' -Type String -value"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\ -Type String -name 'Check_Associations' -value"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\ -Property DWORD -name DisableFirstRunCustomize -value 2 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\Windows\CurrentVersion\'Internet Settings'\ZoneMap -Property DWORD -name IEHarden -value 0 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\DisableFirstRunCustomize -Type DWORD -name 'DisableFirstRunCustomize' -value 2 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\Windows\CurrentVersion\'Internet Settings'\ZoneMap -PropertyType DWORD -name 'IEHarden' -value 0 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\Windows\CurrentVersion\'Internet Settings'\ZoneMap -Type DWORD -name 'IEHarden' -value 0 -Force"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\ -PropertyType String -name 'Check_Associations' -value"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\'Internet Explorer'\Main\ -Property String -name Check_Associations -value"
win_apt_ke3chang_regadd,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe" -c "New-ItemProperty -Path hkcu:\Software\Microsoft\Windows\CurrentVersion\'Internet Settings'\ZoneMap -name 'IEHarden' -Property DWORD -value 0 -Force"
win_apt_taidoor,"C:\Windows\system32\rundll32.exe" "C:\Users\user\AppData\myLib.dll";MyStart
win_apt_taidoor,"C:\Windows\System32\rundll32.exe" "C:\Users\user\AppData\myLib";MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib.dll";MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib.dll"; MyStart
win_apt_taidoor,"C:\Windows\System32\rundll32.exe" C:\Users\user\AppData\myLib.dll; MyStart
win_apt_taidoor,rundll32 C:\Users\user\AppData\myLib.dll MyStart
win_apt_taidoor,rundll32 C:\Users\user\AppData\myLib.dll; MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib" MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib"; MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib.dll" MyStart
win_apt_taidoor,rundll32 C:\Users\user\AppData\myLib.dll;MyStart
win_apt_taidoor,rundll32 "C:\Users\user\AppData\myLib";MyStart 
win_apt_turla_comrat_may20,net.exe u"s"e "https://docs.live.net/E654321" kAmIkAzE! /u:somebloke@aol.co.uk
win_apt_turla_comrat_may20,net u"s"e "https://docs.live.net/E654321" kAmIkAzE! /u:"somebloke@aol.co.uk"
win_apt_turla_comrat_may20,tracert.exe -h 10 yahoo.com
win_apt_turla_comrat_may20,tracert /h 10 yahoo.com
win_apt_turla_comrat_may20,tracert -h 10 yahoo.com
win_apt_turla_comrat_may20,cmd.exe /c "%SystemRoot%\System32\wsqmcons.exe &; powershell.exe -v 2 "$QAY076ai = ‘AKWC;HUA389933tomasoas’;[Text.Encoding]::ASCII.GetString([Convert]::\"Fr`omBa`se6`4Str`ing\"((gp HKLM:\SOFTWARE\Microsoft\SQMClient\Windows).WSqmCons))|iex;""
win_apt_turla_comrat_may20,net u"s"e https://docs.live.net/E654321 kAmIkAzE! /u:somebloke@aol.co.uk
win_apt_turla_comrat_may20,tracert -h 10 "yahoo.com"
win_apt_turla_comrat_may20,net use https://docs.live.net/E654321 kAmIkAzE! /u:somebloke@aol.co.uk
win_apt_unc2452_cmds,7z.exe a  -mx9 -r0 -v500m -pSomePassword .\archive1.zip .\file2.log
win_apt_unc2452_cmds,7z.exe a  -mx9 -r0 -pSomePassword .\archive1.zip .\file2.log
win_apt_unc2452_cmds,rundll32.exe "C:\Windows\folder2\teardrop.dll";Tk_fakeexport
win_apt_unc2452_cmds,rundll32.exe C:\Windows\folder2\teardrop.dll;Tk_fakeexport
win_apt_unc2452_cmds,7z.exe a -v500m -mx9 -r0 -pSomePassword .\archive1.zip .\file2.log
win_apt_unc2452_cmds,cmd.exe /C "echo Hello World!"
win_apt_unc2452_cmds,7z.exe a  -mx9 -v500m -r0 -pSomePassword .\archive1.zip .\file2.log
win_apt_unc2452_cmds,cmd.exe /r "echo Hello World!"
win_apt_unc2452_cmds,rundll32 C:\Windows\\Folder\SomeLib.dll SomeFunction
win_apt_unc2452_cmds,rundll32 C:\Windows\folder2\teardrop.dll Tk_fakeexport
win_apt_unc2452_cmds,rundll32.exe C:\Windows\folder2\teardrop.dll;Tk_fakeexport
win_apt_unc2452_ps,powershell -c "Invoke-WMIMethod -name create -Path win32_process -argumentlist 'rundll32 c:\windows\system32\shell32.dll Control_RunDLL'"
win_apt_unc2452_ps,powershell -c "Invoke-WMIMethod -name 'create' -Path 'win32_process' -argumentlist 'rundll32 c:\windows\system32\shell32.dll Control_RunDLL'"
win_apt_unc2452_ps,wmic /node:"" process  call  create  "rundll32.exe c:\windows\system32\shell32.dll; Control_RunDLL"
win_apt_unc2452_ps,wmic -node:"" process  call  create  "rundll32 c:\windows\system32\shell32.dll; Control_RunDLL"
win_apt_unc2452_ps,powershell -c "Invoke-WMIMethod win32_process -name create -argumentlist 'rundll32 c:\windows\system32\shell32.dll Control_RunDLL'"
win_apt_unc2452_ps,powershell -c "Invoke-WMIMethod win32_process -Name create -ArgumentList 'rundll32 c:\windows\system32\shell32.dll Control_RunDLL'"
win_apt_unc2452_ps,powershell -c "Invoke-WMIMethod -Path win32_process -name create -argumentlist 'rundll32 c:\windows\system32\shell32.dll Control_RunDLL'"
win_apt_unc2452_ps,wmic.exe /node:"" process  call  create  "rundll32 c:\windows\system32\shell32.dll; Control_RunDLL"
win_apt_unc2452_ps,wmic /node:sigma process call create "rundll32 c:\windows\system32\shell32.dll; Control_RunDLL"
win_apt_wocao,cmd.exe /c schtasks /create /u "" /p "P4SsW0RD!" /ru system /sc daily /tr "cmd /c powershell.exe -ExecutionPolicy bypass -file c:\s.ps1" /tn "win32times" /f
win_apt_wocao,netsh advfirewall firewall add rule name="powershell" action=allow dir=in  localport=47000 | out-null
win_apt_wocao,cmd.exe /c sc \\localhost create  win32times  binpath="cmd /c start c:\windows\temp\x.bat"
win_apt_wocao,cmd.exe /Q /c type c:\users\user\appdata\Roaming\kee""pass\KeePass.config.xml
win_apt_wocao,netsh advfirewall firewall add rule name=powershell action=allow protocol=tcp dir=in  localport=47000 | out-null
win_apt_wocao,powershell -executionPolicy bypass -encodedCommand JgAg > rs.txt
win_apt_wocao,cmd.exe /c schtasks /create /u "" /p "P4SsW0RD!" /ru system /sc daily /tr "cmd /c powershell.exe -ep bypass -file c:\s.ps1" /tn win32times /f
win_apt_wocao,cmd.exe /c sc \\127.0.0.1 create win32times binPath="cmd /c start c:\windows\temp\x.bat"
win_apt_wocao,cmd.exe /c schtasks /create /u "" /p "P4SsW0RD!" /ru system /sc daily /tn win32times /tr "cmd.exe /c powershell.exe -ep bypass -file c:\s.ps1" /f
win_apt_wocao,cmd.exe /c copy \\localhost\c$\windows\sys""tem32\devmgr.dll \\localhost\c$\windows\temp\LMAKSW.ps1 /y
win_apt_wocao,cmd.exe /c copy \\localhost\c$\windows\system32\devmgr.dll \\localhost\c$\windows\temp\LMAKSW.ps1 /y
win_apt_wocao,powershell -ep bypass -enc JgAg > rs.txt
win_apt_wocao,cmd.exe /Q /c type c:\users\user\appdata\Roaming\keepass\KeePass.config.xml
win_apt_wocao,cmd.exe /c sc \\localhost create "win32times" binPath="cmd /c start c:\windows\temp\x.bat"
win_apt_wocao,cmd.exe /c reg query HKEY_CURRENT_USER\Software\user\PuTTY\Sessions\
win_apt_wocao,netsh advfirewall firewall add rule name=powershell dir=in localport=47000 action=allow | out-null
win_apt_wocao,powershell.exe -exec "bypass" -enc JgAg > rs.txt
win_apt_wocao,cmd.exe /c reg query "HKEY_CURRENT_USER\Software\user\PuTTY\Sessions\"
win_apt_wocao,powershell -exec bypass -enc JgAg > rs.txt
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll; zxFunction
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll RemoteDiskXXXXX
win_apt_zxshell,rundll32 C:\d7z6t5g6j98j.dll;RemoteDiskXXXXX
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll; RemoteDiskXXXXX
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll;zxFunction
win_apt_zxshell,rundll32.exe C:\j8i9o6k4tz654r3.dll;zxFunctionStar
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll zxFunction
win_apt_zxshell,rundll32 C:\d7z6t5g6j98j.dll;zxFunction
win_apt_zxshell,rundll32.exe C:\d7z6t5g6j98j.dll;RemoteDiskXXXXX
win_bootconf_mod,bcdedit.exe /set {default} boot"status"policy ignore"allfai"lures
win_bootconf_mod,bcdedit.exe /s"e"t {default} recoveryenabled no
win_bootconf_mod,bcdedit.exe /set {default} recove"ryen"abled no
win_bootconf_mod,bcdedit.exe /set {default} bootstatuspolicy ignoreallfailures
win_bootconf_mod, bcdedit.exe -set {default} bootstatuspolicy ignoreallfailures
win_bootconf_mod,bcdedit.exe /s"e"t {default} bootstatuspolicy ignoreallfailures
win_bootconf_mod,bcdedit.exe /set {default} recoveryenabled 'no'
win_change_default_file_association,c"m"d /c assoc .txt=txtfile
win_change_default_file_association,c"m"d.exe /"c" assoc .bak= 
win_change_default_file_association,cmd /c assoc .log=txtfile
win_change_default_file_association,cmd /c assoc .bak= 
win_change_default_file_association,cmd /"c" assoc .txt=txtfile
win_change_default_file_association,cmd.exe /c assoc .txt = txtfile
win_cmdkey_recon,cmdkey /l"is"t:localhost
win_cmdkey_recon,cmdkey.exe /"list"
win_cmdkey_recon,cmdkey /list Server01
win_cmdkey_recon,cmdkey.exe /list SomeOtherServer01
win_cmdkey_recon,cmdkey.exe -"list" localhost
win_cmdkey_recon,cmdkey.exe /list localhost
win_commandline_path_traversal,ping 127.0.0.1\..\..\..\Windows/System32/calc.exe
win_commandline_path_traversal,ping 127.0.0.1/../System32/calc.exe
win_commandline_path_traversal,ping 127.0.0.1/../../System32/calc.exe
win_commandline_path_traversal,ping 127.0.0.1/../../../../calc.exe
win_commandline_path_traversal,ping 127.0.0.1/../../System32/calc.exe
win_commandline_path_traversal,ping 127.0.0.1/../../../Windows/System32/calc.exe
win_control_panel_item,reg "ad"d "HKCU\Software\Microsoft\Windows\CurrentVersion\"Control Panel"\CPLs" /v spotless /d "C:\some\other\malicious\lib.cpl"
win_control_panel_item,r"e"g add "HKCU\Software\Microsoft\Windows\CurrentVersion\"Control Panel"\CPLs" /v spotless /d "C:\some\other\malicious\lib.cpl" /f
win_control_panel_item,reg add "HKCU\Software\Microsoft\Windows\CurrentVersion\Control Panel\CPLs" /v spotless /d C:\labs\cplAddin\cplAddin\x64\Release\cplAddin2.cpl
win_control_panel_item,reg add "HKCU\Software\Microsoft\Windows\CurrentVersion\Control Panel\CPLs" /v spotless /d C:\Users\test\AppData\Roaming\evil.cpl
win_control_panel_item,reg add "HKCU\Software\Microsoft\Windows\CurrentVersion\"Control Panel"\CPLs" /v spotless /d "C:\labs\cplAddin\cplAddin\x64\Release\cplAddin2.cpl"
win_control_panel_item,reg add "HKCU\Software\Microsoft\Windows\CurrentVersion\Control Panel\CPLs" /v spotless /d C:\some\other\malicious\lib.cpl
win_copying_sensitive_files_with_credential_data,esentutl.exe /"m" C:\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat /v"ss"rec V01 .
win_copying_sensitive_files_with_credential_data,cmd /c copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\N"TDS\NT"DS.dit C:\temp\system
win_copying_sensitive_files_with_credential_data,esentutl.exe /y C:\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat /vssrec V01 . /d c:\exports\webcachev01.dat
win_copying_sensitive_files_with_credential_data,cmd /c copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\Windows\NTDS\NTDS.dit C:\temp\system
win_copying_sensitive_files_with_credential_data,esentutl.exe /"y" C:\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat /v"s"srec V01 . /"d" c:\exports\webcachev01.dat
win_copying_sensitive_files_with_credential_data,esentutl.exe /m C:\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat /vssrec V01 .
win_crime_maze_ransomware,wmic "shadowcopy" "delete"
win_crime_maze_ransomware,"C:\ny\uepyb\..\..\Windows\pchdw\s\..\..\system32\k\aph\..\..\wbem\c\..\wmic.exe" shadowcopy   delete  
win_crime_maze_ransomware,"C:\ny\uepyb\..\..\Windows\pchdw\s\..\..\sy"stem"32\k\aph\..\..\wbem\c\..\wmic.exe" "shadowcopy" "delete"
win_crime_maze_ransomware,wmic.exe shadowcopy delete
win_crime_maze_ransomware,"C:\ny\uepyb\..\..\Windows\pchdw\s\..\..\system32\k\aph\..\..\wbem\c\..\wmic.exe" shadowcopy delete
win_crime_maze_ransomware,wmic.exe shadowcopy   delete  
win_crime_maze_ransomware,"C:\ny\uepyb\..\..\Windows\pchdw\s\..\..\system32\k\aph\..\..\wbem\c\..\wmic.exe" shadowcopy delete
win_crime_maze_ransomware,wmic shadowcopy delete
win_crime_snatch_ransomware,s""hu"tdo"wn "/r" /""f "/"t "0"0
win_crime_snatch_ransomware,shutdown -r -f -t 00
win_crime_snatch_ransomware,net.exe stop superbackupman
win_crime_snatch_ransomware,net   stop   superbackupman
win_crime_snatch_ransomware,shutdown /r /f /t 00
win_crime_snatch_ransomware,shutdown /r /f /t 00
win_crime_snatch_ransomware,shutdown.exe    /r    /f    /t    00
win_crime_snatch_ransomware,net stop superbackupman
win_crime_snatch_ransomware,net stop superbackupman
win_crime_snatch_ransomware,n""e"t" s"t"o""p "th"em""e"s"
win_crime_snatch_ransomware,shutdown /r /f /t 00
win_crime_snatch_ransomware,net stop superbackupman
win_data_compressed_with_rar,rar "a" C:\Users\Alice\exfiltrate.rar C:\Users\Alice\Images
win_data_compressed_with_rar,rar "a" C:\Sensitive\Data\export.rar C:\Sensitive\Data
win_data_compressed_with_rar,rar a C:\Temp\myarchive.rar C:\Users\Mal\Desktop\data
win_data_compressed_with_rar,rar a C:\Sensitive\Data\export.rar C:\Sensitive\Data
win_data_compressed_with_rar,rar "a" C:\Temp\myarchive.rar C:\Users\Mal\Desktop\data
win_data_compressed_with_rar,rar a C:\Users\Alice\exfiltrate.rar C:\Users\Alice\Images
win_dsquery_domain_trust_discovery,nltest.exe /do"m"ain_t"rust"s
win_dsquery_domain_trust_discovery,nltest.exe /domain_t"rus"ts
win_dsquery_domain_trust_discovery,nltest.exe /domain_trusts
win_dsquery_domain_trust_discovery,nltest.exe /domain_trusts
win_dsquery_domain_trust_discovery,nltest.exe /do"main"_tru"s"ts
win_dsquery_domain_trust_discovery,nltest.exe /domain_trusts
win_etw_trace_evasion,wevtutil c"le"ar-l""og Microsoft-Windows-WMI-Activity/Tr""ace
win_etw_trace_evasion,wevtutil s""et-l"o"g -"e":f"als"e Microsoft-Windows-WMI-Actitivy/Trace
win_etw_trace_evasion,wevtutil.exe s""l -e:fa"ls"e Microsoft-Windows-WMI-Actitivy/Trace
win_etw_trace_evasion,wevtutil.exe cl Microsoft-Windows-WMI-Activity/Trace
win_etw_trace_evasion,wevtutil set-log /e:false Microsoft-Windows-WMI-Actitivy/Trace
win_etw_trace_evasion,wevtutil.exe c""l Microsoft-Windows-WMI-Activity/T"rac"e
win_etw_trace_evasion,wevtutil.exe sl /e:false Microsoft-Windows-WMI-Actitivy/Trace
win_etw_trace_evasion,wevtutil clear-log Microsoft-Windows-WMI-Activity/Trace
win_exploit_cve_2020_1048,powershell.exe -c A"d"d-Pr"int"erPort -N""a"m"e "C:\Users\User\Desktop\updater.dll"
win_exploit_cve_2020_1048,powershell -c Add-PrinterDriver -Name \"Ge"ner"ic / Text Only\"
win_exploit_cve_2020_1048,powershell -c Add-PrinterPort -Name "C:\Temp\mal.exe"
win_exploit_cve_2020_1048,powershell -c Add-PrinterDriver -Name "Generic / Text Only"
win_exploit_cve_2020_1048,powershell -c Add-PrinterPort    -Name "C:\Temp\mal.exe"
win_exploit_cve_2020_1048,powershell.exe -c Add-PrinterPort -Name "C:\Users\User\Desktop\updater.dll"
win_hack_koadic,cmd.exe /q /c c""h"c"p 
win_hack_koadic,cmd /q /c chcp 
win_hack_koadic,cmd.exe /q /c chcp 
win_hack_koadic,cmd.exe /q /c chcp 
win_hack_koadic,cmd.exe   /q   /c   chcp 
win_hack_koadic,cmd.exe /q /c chcp 
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\Curre"ntVer"sion\Image File Exec"ut"ion Options\ut"il"man.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\Current"Vers"ion\Image File Execution Op"tio"ns\osk.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\dis"play"switch.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\I"mag"e File Execution Options\mag"ni"fy.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\sethc.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\osk.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\Cur"rent"Version\I"ma"ge F"il"e Ex"ec"ution Op"ti"ons\se"th"c.e"x"e" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\Curr"ent"Version\Im"ag"e F"il"e Exe"cut"ion O"pt"ions\at"broke"r.e"x"e" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\magnify.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\displayswitch.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\Curre"ntVe"rsion\Image File Execution Options\na"rr"ator.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\atbroker.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\utilman.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_install_reg_debugger_backdoor,reg add "HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\narrator.exe" /t REG_SZ /v Debugger /d “C:\windows\system32\cmd.exe” /f
win_interactive_at,at 00:00 /in"ter"active cmd.exe /c ipconfig
win_interactive_at,at 18:00 /i"n"ter mal.exe
win_interactive_at,at.exe 12:00 /interactive notepad.exe
win_interactive_at,at 18:00 /interactive mal.exe
win_interactive_at,at.exe 12:00 /i notepad.exe
