Pair Index,Match Cmd,Evasion Cmd,Equivalent
10,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e'}",False
11,"{'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client3', 'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5'}","{'hostname': 'client3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2'}",False
12,"{'user': 'system', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}",False
13,"{'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.046z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:38:36.978z', 'module': 'sysmon', 'category': ['process'], 'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon'}",False
14,"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'client', 'hostname': 'client3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client3', 'architecture': 'x86', 'os': {'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'name': 'client3.breach.local', 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4'}",False
15,"""logonui.exe"" /flags:0x0","""c:\program files\python35-32\python.exe"" ""c:\breach\init_tbf_client.py""",False
16,"{'entity_id': '{19fc45ac-74d6-601c-0000-0010d56d0300}', 'command_line': 'esentutl.exe /m c:\\users\\<user>\\appdata\\local\\microsoft\\windows\\webcache\\webcachev01.dat /vssrec v01 .', 'working_directory': 'c:\\windows\\system32\\', 'parent': {'entity_id': '{19fc45ac-74c3-601c-0000-0010355c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'logonui.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'c:\\windows\\system32\\esentutl.exe', 'args': ['logonui.exe', '/flags:0x0']}","{'pid': 1696, 'command_line': 'cmd /c copy \\\\?\\globalroot\\device\\harddiskvolumeshadowcopy3\\windows\\n""tds\\nt""ds.dit c:\\temp\\system', 'working_directory': 'c:\\breach\\', 'name': 'python.exe', 'hash': {'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e'}, 'entity_id': '{19fc45ac-76ea-601c-0000-00107d720100}', 'executable': 'c:\\windows\\system32\\cmd.exe', 'parent': {'pid': 1596, 'executable': 'c:\\windows\\py.exe', 'command_line': '""c:\\windows\\py.exe"" ""c:\\breach\\init_tbf_client.py"" ', 'name': 'py.exe', 'args': ['c:\\windows\\py.exe', 'c:\\breach\\init_tbf_client.py'], 'entity_id': '{19fc45ac-76ea-601c-0000-0010b36a0100}'}, 'args': ['c:\\program files\\python35-32\\python.exe', 'c:\\breach\\init_tbf_client.py']}",False
17,"{'domain': 'nt authority', 'name': 'system'}","{'domain': 'breach', 'name': 'client3'}",False
18,"{'task': 'process create (rule: processcreate)', 'event_data': {'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'product': 'microsoft® windows® operating system', 'logonguid': '{19fc45ac-74c4-601c-0000-0020e7030000}', 'logonid': '0x3e7', 'integritylevel': 'system', 'terminalsessionid': '1', 'company': 'microsoft corporation', 'description': 'windows logon user interface host', 'originalfilename': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'client', 'opcode': 'info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'nt authority', 'type': 'user', 'identifier': 's-1-5-18', 'name': 'system'}, 'provider_name': 'microsoft-windows-sysmon', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'channel': 'microsoft-windows-sysmon/operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'channel': 'microsoft-windows-sysmon/operational', 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'process': {'thread': {'id': 308}, 'pid': 1904}, 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'api': 'wineventlog', 'computer_name': 'client3.breach.local', 'event_data': {'originalfilename': 'python.exe', 'product': 'python', 'terminalsessionid': '1', 'logonguid': '{19fc45ac-76e9-601c-0000-00202bf80000}', 'logonid': '0xf82b', 'description': 'python', 'company': 'python software foundation', 'integritylevel': 'medium', 'fileversion': '3.5.2'}, 'record_id': 1449, 'task': 'process create (rule: processcreate)', 'opcode': 'info', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'version': 5}",False
19,2021-02-04t22:27:34.187z,2021-02-04t22:36:26.281z,False
20,"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914'}",False
21,"{'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client3', 'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5'}","{'hostname': 'client3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client3', 'type': 'winlogbeat', 'version': '7.10.2'}",False
22,"{'user': 'system', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'system', 'hash': ['a25c33fb549d90018dbeec40bb07d543', '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914']}",False
23,"{'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:31:13.046z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t22:38:36.978z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'kind': 'event', 'code': 1}",False
24,"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'client', 'hostname': 'client3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'name': 'client3.breach.local', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client3', 'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4'}",False
25,"""logonui.exe"" /flags:0x0","""c:\program files\freesshd\freesshdservice.exe""",False
26,"{'entity_id': '{19fc45ac-74d6-601c-0000-0010d56d0300}', 'command_line': 'esentutl.exe /m c:\\users\\<user>\\appdata\\local\\microsoft\\windows\\webcache\\webcachev01.dat /vssrec v01 .', 'working_directory': 'c:\\windows\\system32\\', 'parent': {'entity_id': '{19fc45ac-74c3-601c-0000-0010355c0000}', 'pid': 384, 'executable': 'c:\\windows\\system32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'logonui.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'c:\\windows\\system32\\esentutl.exe', 'args': ['logonui.exe', '/flags:0x0']}","{'entity_id': '{19fc45ac-76ea-601c-0000-00105a760100}', 'pid': 1716, 'executable': 'c:\\windows\\system32\\esentutl.exe', 'command_line': 'esentutl.exe /""y"" c:\\users\\<user>\\appdata\\local\\microsoft\\windows\\webcache\\webcachev01.dat /v""s""srec v01 . /""d"" c:\\exports\\webcachev01.dat', 'working_directory': 'c:\\windows\\system32\\', 'parent': {'entity_id': '{19fc45ac-76e7-601c-0000-001081630000}', 'pid': 440, 'executable': 'c:\\windows\\system32\\services.exe', 'command_line': 'c:\\windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['c:\\windows\\system32\\services.exe']}, 'name': 'freesshdservice.exe', 'args': ['c:\\program files\\freesshd\\freesshdservice.exe'], 'hash': {'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914'}}",False
27,"{'task': 'process create (rule: processcreate)', 'event_data': {'fileversion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'product': 'microsoft® windows® operating system', 'logonguid': '{19fc45ac-74c4-601c-0000-0020e7030000}', 'logonid': '0x3e7', 'integritylevel': 'system', 'terminalsessionid': '1', 'company': 'microsoft corporation', 'description': 'windows logon user interface host', 'originalfilename': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'client', 'opcode': 'info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'nt authority', 'type': 'user', 'identifier': 's-1-5-18', 'name': 'system'}, 'provider_name': 'microsoft-windows-sysmon', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'channel': 'microsoft-windows-sysmon/operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'computer_name': 'client3.breach.local', 'opcode': 'info', 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}, 'event_data': {'product': 'freesshdservice module', 'company': '?', 'logonid': '0x3e7', 'integritylevel': 'system', 'fileversion': '1, 3, 1, 26', 'originalfilename': 'freesshdservice.exe', 'description': 'freesshdservice module', 'terminalsessionid': '0', 'logonguid': '{19fc45ac-76e7-601c-0000-0020e7030000}'}, 'api': 'wineventlog', 'version': 5, 'process': {'pid': 1904, 'thread': {'id': 308}}, 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1450, 'channel': 'microsoft-windows-sysmon/operational', 'task': 'process create (rule: processcreate)', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}'}",False
28,2021-02-04t20:34:50.509z,2021-02-04t23:00:37.488z,False
29,"""c:\windows\system32\notepad.exe"" c:\programdata\winlogbeat\logs\winlogbeat","""c:\windows\microsoft.net\framework\v2.0.50727\csc.exe"" /noconfig /fullpaths @""c:\users\client2\appdata\local\temp\zyhczvr_.cmdline""",False
30,"{'hash': ['d378bffb70923139d6a4f546864aa61c', 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'], 'user': 'breach'}","{'user': 'client2', 'hash': ['3d7d2e825c63ff501e896cf008c70d75', '037fc52b8fc6089338eb456f2b45638ed36c42a4dca7ace391d166b2329838a1']}",False
31,"{'name': 'client', 'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.254', '172.16.1.1', 'fe80::5efe:c0a8:38fe', 'fe80::5efe:ac10:101'], 'mac': ['00:50:56:00:01:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client'}","{'mac': ['00:50:56:00:03:02', '00:50:56:00:00:02', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'client2.breach.local', 'hostname': 'client2', 'architecture': 'x86', 'os': {'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.102', '172.16.1.2', 'fe80::5efe:c0a8:3866', 'fe80::5efe:ac10:102']}",False
32,"{'channel': 'microsoft-windows-sysmon/operational', 'opcode': 'info', 'version': 5, 'event_data': {'integritylevel': 'high', 'product': 'microsoft® windows® operating system', 'description': 'notepad', 'company': 'microsoft corporation', 'logonid': '0x25612', 'fileversion': '6.1.7600.16385 (win7_rtm.090713-1255)', 'originalfilename': 'notepad.exe', 'logonguid': '{19fc45ac-53ad-601c-0000-002012560200}', 'terminalsessionid': '1'}, 'process': {'thread': {'id': 1780}, 'pid': 1524}, 'user': {'type': 'user', 'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority'}, 'computer_name': 'client', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'event_id': 1, 'provider_name': 'microsoft-windows-sysmon', 'record_id': 1139, 'task': 'process create (rule: processcreate)', 'api': 'wineventlog'}","{'provider_name': 'microsoft-windows-sysmon', 'provider_guid': '{5770385f-c22a-43e0-bf4c-06f5698ffbd9}', 'event_id': 1, 'api': 'wineventlog', 'computer_name': 'client2.breach.local', 'process': {'pid': 1704, 'thread': {'id': 1804}}, 'channel': 'microsoft-windows-sysmon/operational', 'event_data': {'description': 'visual c# command line compiler', 'product': 'microsoft® visual studio® 2005', 'terminalsessionid': '1', 'logonguid': '{19fc45ac-76d9-601c-0000-002027fb0000}', 'logonid': '0xfb27', 'fileversion': '8.0.50727.4927 (netfxspw7.050727-4900)', 'originalfilename': 'csc.exe', 'company': 'microsoft corporation', 'integritylevel': 'medium'}, 'record_id': 1399, 'task': 'process create (rule: processcreate)', 'opcode': 'info', 'version': 5, 'user': {'identifier': 's-1-5-18', 'name': 'system', 'domain': 'nt authority', 'type': 'user'}}",False
33,"{'kind': 'event', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'code': 1, 'provider': 'microsoft-windows-sysmon', 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t20:34:52.630z'}","{'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'action': 'process create (rule: processcreate)', 'created': '2021-02-04t23:00:39.202z', 'kind': 'event', 'code': 1, 'provider': 'microsoft-windows-sysmon'}",False
34,"{'entity_id': '{19fc45ac-5a6a-601c-0000-001084771000}', 'pid': 1344, 'command_line': 'cmd.exe /c assoc .txt = txtfile', 'working_directory': 'c:\\programdata\\winlogbeat\\logs\\', 'executable': 'c:\\windows\\system32\\notepad.exe', 'parent': {'entity_id': '{19fc45ac-5a69-601c-0000-001089681000}', 'pid': 3212, 'executable': 'c:\\windows\\system32\\rundll32.exe', 'command_line': '""c:\\windows\\system32\\rundll32.exe"" c:\\windows\\system32\\shell32.dll,openas_rundll c:\\programdata\\winlogbeat\\logs\\winlogbeat', 'name': 'rundll32.exe', 'args': ['c:\\windows\\system32\\rundll32.exe', 'c:\\windows\\system32\\shell32.dll,openas_rundll', 'c:\\programdata\\winlogbeat\\logs\\winlogbeat']}, 'name': 'notepad.exe', 'args': ['c:\\windows\\system32\\notepad.exe', 'c:\\programdata\\winlogbeat\\logs\\winlogbeat'], 'hash': {'md5': 'd378bffb70923139d6a4f546864aa61c', 'sha256': 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'}}","{'command_line': 'c""m""d /c assoc .txt=txtfile', 'working_directory': 'c:\\users\\client2\\appdata\\local\\temp\\sdiag_48f926c1-3306-4e3d-8c87-5812d0551052\\', 'parent': {'entity_id': '{19fc45ac-7c94-601c-0000-0010ba1b0c00}', 'pid': 4028, 'executable': 'c:\\windows\\system32\\sdiagnhost.exe', 'command_line': 'c:\\windows\\system32\\sdiagnhost.exe -embedding', 'name': 'sdiagnhost.exe', 'args': ['c:\\windows\\system32\\sdiagnhost.exe', '-embedding']}, 'name': 'csc.exe', 'args': ['c:\\windows\\microsoft.net\\framework\\v2.0.50727\\csc.exe', '/noconfig', '/fullpaths', '@c:\\users\\client2\\appdata\\local\\temp\\zyhczvr_.cmdline'], 'entity_id': '{19fc45ac-7c95-601c-0000-001036270c00}', 'pid': 3988, 'executable': 'c:\\windows\\microsoft.net\\framework\\v2.0.50727\\csc.exe', 'hash': {'sha256': '037fc52b8fc6089338eb456f2b45638ed36c42a4dca7ace391d166b2329838a1', 'md5': '3d7d2e825c63ff501e896cf008c70d75'}}",False
35,"{'domain': 'client', 'name': 'breach'}","{'domain': 'breach', 'name': 'client2'}",False
36,"{'md5': 'd378bffb70923139d6a4f546864aa61c', 'sha256': 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'}","{'md5': '3d7d2e825c63ff501e896cf008c70d75', 'sha256': '037fc52b8fc6089338eb456f2b45638ed36c42a4dca7ace391d166b2329838a1'}",False
37,"{'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'client', 'ephemeral_id': '66b561db-e9d4-4076-b78e-c4ce9eada53c'}","{'version': '7.10.2', 'hostname': 'client2', 'ephemeral_id': 'd5d7daa0-c0ba-4d39-9140-3b4a4308a222', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'client2', 'type': 'winlogbeat'}",False
38,2021-02-04t20:34:50.509z,2021-02-04t22:28:58.031z,False
39,"""c:\windows\system32\notepad.exe"" c:\programdata\winlogbeat\logs\winlogbeat","""c:\program files\nettime\nettimeservice.exe""",False
40,"{'hash': ['d378bffb70923139d6a4f546864aa61c', 'c4232ddd4d37b9c0884bd44d8476578c54d7f98d58945728e425736a6a07e102'], 'user': 'breach'}","{'user': 'system', 'hash': ['94c08df0f07c509d99fea7cfc486c335', '0aae40d7b5d57aed2a897161601a08123e64088033b03527dc1ba2b55e7a4e9a']}",False
41,"{'name': 'client', 'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.254', '172.16.1.1', 'fe80::5efe:c0a8:38fe', 'fe80::5efe:ac10:101'], 'mac': ['00:50:56:00:01:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'client'}","{'hostname': 'client1', 'architecture': 'x86', 'os': {'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'windows 7 professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.101', '172.16.1.1', 'fe80::5efe:c0a8:3865', 'fe80::5efe:ac10:101'], 'name': 'client1.breach.local', 'mac': ['00:50:56:00:03:01', '00:50:56:00:00:01', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0']}",False
