Match Value,Evasion Value
"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e'}"
"{'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIENT3', 'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5'}","{'hostname': 'CLIENT3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2'}"
"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'client3', 'hash': ['edc79826e21859e93a875dfc087606c5', 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e']}"
"{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:13.046Z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:38:36.978Z', 'module': 'sysmon', 'category': ['process'], 'type': ['start', 'process_start'], 'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon'}"
"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'CLIENT', 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1'}, 'name': 'CLIENT3.breach.local', 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:34.187
ProcessGuid: {19FC45AC-74D6-601C-0000-0010D56D0300}
ProcessId: 2724
Image: C:\Windows\System32\LogonUI.exe
FileVersion: 6.1.7601.17514 (win7sp1_rtm.101119-1850)
Description: Windows Logon User Interface Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: logonui.exe
CommandLine: ""LogonUI.exe"" /flags:0x0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {19FC45AC-74C4-601C-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: MD5=3EF0D8AB08385AAB5802E773511A2E6A,SHA256=1A7EE4BC646767004372EAEA9BC0A2071790E739101F7D25ECD9C95D3F29AFD6
ParentProcessGuid: {19FC45AC-74C3-601C-0000-0010355C0000}
ParentProcessId: 384
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:36:26.218
ProcessGuid: {19FC45AC-76EA-601C-0000-00107D720100}
ProcessId: 1696
Image: C:\Program Files\Python35-32\python.exe
FileVersion: 3.5.2
Description: Python
Product: Python
Company: Python Software Foundation
OriginalFileName: python.exe
CommandLine: ""C:\Program Files\Python35-32\python.exe"" ""C:\BREACH\init_tbf_client.py"" 
CurrentDirectory: C:\BREACH\
User: BREACH\client3
LogonGuid: {19FC45AC-76E9-601C-0000-00202BF80000}
LogonId: 0xf82b
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=EDC79826E21859E93A875DFC087606C5,SHA256=D61DDEA87B2483612CAEB0F3514AEE3E60237D5F3880F49512C834539462742E
ParentProcessGuid: {19FC45AC-76EA-601C-0000-0010B36A0100}
ParentProcessId: 1596
ParentImage: C:\Windows\py.exe
ParentCommandLine: ""C:\Windows\py.exe"" ""C:\BREACH\init_tbf_client.py"" "
"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'pid': 1696, 'command_line': 'cmd /c copy \\\\?\\GLOBALROOT\\Device\\HarddiskVolumeShadowCopy3\\Windows\\N""TDS\\NT""DS.dit C:\\temp\\system', 'working_directory': 'C:\\BREACH\\', 'name': 'python.exe', 'hash': {'md5': 'edc79826e21859e93a875dfc087606c5', 'sha256': 'd61ddea87b2483612caeb0f3514aee3e60237d5f3880f49512c834539462742e'}, 'entity_id': '{19FC45AC-76EA-601C-0000-00107D720100}', 'executable': 'C:\\Windows\\System32\\cmd.exe', 'parent': {'pid': 1596, 'executable': 'C:\\Windows\\py.exe', 'command_line': '""C:\\Windows\\py.exe"" ""C:\\BREACH\\init_tbf_client.py"" ', 'name': 'py.exe', 'args': ['C:\\Windows\\py.exe', 'C:\\BREACH\\init_tbf_client.py'], 'entity_id': '{19FC45AC-76EA-601C-0000-0010B36A0100}'}, 'args': ['C:\\Program Files\\Python35-32\\python.exe', 'C:\\BREACH\\init_tbf_client.py']}"
"{'domain': 'NT AUTHORITY', 'name': 'SYSTEM'}","{'domain': 'BREACH', 'name': 'client3'}"
"{'task': 'Process Create (rule: ProcessCreate)', 'event_data': {'FileVersion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'Product': 'Microsoft® Windows® Operating System', 'LogonGuid': '{19FC45AC-74C4-601C-0000-0020E7030000}', 'LogonId': '0x3e7', 'IntegrityLevel': 'System', 'TerminalSessionId': '1', 'Company': 'Microsoft Corporation', 'Description': 'Windows Logon User Interface Host', 'OriginalFileName': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'CLIENT', 'opcode': 'Info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'NT AUTHORITY', 'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM'}, 'provider_name': 'Microsoft-Windows-Sysmon', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'channel': 'Microsoft-Windows-Sysmon/Operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'channel': 'Microsoft-Windows-Sysmon/Operational', 'event_id': 1, 'provider_name': 'Microsoft-Windows-Sysmon', 'process': {'thread': {'id': 308}, 'pid': 1904}, 'user': {'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY', 'type': 'User'}, 'api': 'wineventlog', 'computer_name': 'CLIENT3.breach.local', 'event_data': {'OriginalFileName': 'python.exe', 'Product': 'Python', 'TerminalSessionId': '1', 'LogonGuid': '{19FC45AC-76E9-601C-0000-00202BF80000}', 'LogonId': '0xf82b', 'Description': 'Python', 'Company': 'Python Software Foundation', 'IntegrityLevel': 'Medium', 'FileVersion': '3.5.2'}, 'record_id': 1449, 'task': 'Process Create (rule: ProcessCreate)', 'opcode': 'Info', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'version': 5}"
2021-02-04T22:27:34.187Z,2021-02-04T22:36:26.281Z
"{'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6', 'md5': '3ef0d8ab08385aab5802e773511a2e6a'}","{'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914'}"
"{'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2', 'hostname': 'CLIENT3', 'ephemeral_id': 'f5ed3d9b-1471-4589-bd70-28219e0f5978', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5'}","{'hostname': 'CLIENT3', 'ephemeral_id': '177650cc-629c-4abf-8b93-a90e2e515251', 'id': 'c58de8d4-8be2-444c-bc20-92fab97cbaf5', 'name': 'CLIENT3', 'type': 'winlogbeat', 'version': '7.10.2'}"
"{'user': 'SYSTEM', 'hash': ['3ef0d8ab08385aab5802e773511a2e6a', '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6']}","{'user': 'SYSTEM', 'hash': ['a25c33fb549d90018dbeec40bb07d543', '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914']}"
"{'kind': 'event', 'code': 1, 'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:31:13.046Z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process']}","{'provider': 'Microsoft-Windows-Sysmon', 'action': 'Process Create (rule: ProcessCreate)', 'created': '2021-02-04T22:38:36.978Z', 'module': 'sysmon', 'type': ['start', 'process_start'], 'category': ['process'], 'kind': 'event', 'code': 1}"
"{'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'name': 'CLIENT', 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0', 'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103']}","{'name': 'CLIENT3.breach.local', 'ip': ['192.168.56.103', '172.16.1.3', 'fe80::5efe:c0a8:3867', 'fe80::5efe:ac10:103'], 'mac': ['00:50:56:00:03:03', '00:50:56:00:00:03', '00:00:00:00:00:00:00:e0', '00:00:00:00:00:00:00:e0'], 'hostname': 'CLIENT3', 'architecture': 'x86', 'os': {'platform': 'windows', 'version': '6.1', 'family': 'windows', 'name': 'Windows 7 Professional', 'kernel': '6.1.7601.18741 (win7sp1_gdr.150202-1526)', 'build': '7601.0'}, 'id': '19fc45ac-5890-4f96-81b1-50ed111c0ce4'}"
"Process Create:
RuleName: 
UtcTime: 2021-02-04 22:27:34.187
ProcessGuid: {19FC45AC-74D6-601C-0000-0010D56D0300}
ProcessId: 2724
Image: C:\Windows\System32\LogonUI.exe
FileVersion: 6.1.7601.17514 (win7sp1_rtm.101119-1850)
Description: Windows Logon User Interface Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: logonui.exe
CommandLine: ""LogonUI.exe"" /flags:0x0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {19FC45AC-74C4-601C-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: MD5=3EF0D8AB08385AAB5802E773511A2E6A,SHA256=1A7EE4BC646767004372EAEA9BC0A2071790E739101F7D25ECD9C95D3F29AFD6
ParentProcessGuid: {19FC45AC-74C3-601C-0000-0010355C0000}
ParentProcessId: 384
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe","Process Create:
RuleName: 
UtcTime: 2021-02-04 22:36:26.281
ProcessGuid: {19FC45AC-76EA-601C-0000-00105A760100}
ProcessId: 1716
Image: C:\Program Files\freeSSHd\FreeSSHDService.exe
FileVersion: 1, 3, 1, 26
Description: FreeSSHDService Module
Product: FreeSSHDService Module
Company: ?
OriginalFileName: FreeSSHDService.exe
CommandLine: ""C:\Program Files\freeSSHd\FreeSSHDService.exe""
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {19FC45AC-76E7-601C-0000-0020E7030000}
LogonId: 0x3e7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=A25C33FB549D90018DBEEC40BB07D543,SHA256=472168CF54A123BA0FC585B4B5FEDBB60562B81B3ADA7616CE9CA77DDB5C4914
ParentProcessGuid: {19FC45AC-76E7-601C-0000-001081630000}
ParentProcessId: 440
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe"
"{'entity_id': '{19FC45AC-74D6-601C-0000-0010D56D0300}', 'command_line': 'esentutl.exe /m C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /vssrec V01 .', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-74C3-601C-0000-0010355C0000}', 'pid': 384, 'executable': 'C:\\Windows\\System32\\winlogon.exe', 'command_line': 'winlogon.exe', 'name': 'winlogon.exe', 'args': ['winlogon.exe']}, 'name': 'LogonUI.exe', 'hash': {'md5': '3ef0d8ab08385aab5802e773511a2e6a', 'sha256': '1a7ee4bc646767004372eaea9bc0a2071790e739101f7d25ecd9c95d3f29afd6'}, 'pid': 2724, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'args': ['LogonUI.exe', '/flags:0x0']}","{'entity_id': '{19FC45AC-76EA-601C-0000-00105A760100}', 'pid': 1716, 'executable': 'C:\\Windows\\System32\\esentutl.exe', 'command_line': 'esentutl.exe /""y"" C:\\Users\\<user>\\AppData\\Local\\Microsoft\\Windows\\WebCache\\WebCacheV01.dat /v""s""srec V01 . /""d"" c:\\exports\\webcachev01.dat', 'working_directory': 'C:\\Windows\\system32\\', 'parent': {'entity_id': '{19FC45AC-76E7-601C-0000-001081630000}', 'pid': 440, 'executable': 'C:\\Windows\\System32\\services.exe', 'command_line': 'C:\\Windows\\system32\\services.exe', 'name': 'services.exe', 'args': ['C:\\Windows\\system32\\services.exe']}, 'name': 'FreeSSHDService.exe', 'args': ['C:\\Program Files\\freeSSHd\\FreeSSHDService.exe'], 'hash': {'md5': 'a25c33fb549d90018dbeec40bb07d543', 'sha256': '472168cf54a123ba0fc585b4b5fedbb60562b81b3ada7616ce9ca77ddb5c4914'}}"
"{'task': 'Process Create (rule: ProcessCreate)', 'event_data': {'FileVersion': '6.1.7601.17514 (win7sp1_rtm.101119-1850)', 'Product': 'Microsoft® Windows® Operating System', 'LogonGuid': '{19FC45AC-74C4-601C-0000-0020E7030000}', 'LogonId': '0x3e7', 'IntegrityLevel': 'System', 'TerminalSessionId': '1', 'Company': 'Microsoft Corporation', 'Description': 'Windows Logon User Interface Host', 'OriginalFileName': 'logonui.exe'}, 'event_id': 1, 'computer_name': 'CLIENT', 'opcode': 'Info', 'version': 5, 'record_id': 1199, 'user': {'domain': 'NT AUTHORITY', 'type': 'User', 'identifier': 'S-1-5-18', 'name': 'SYSTEM'}, 'provider_name': 'Microsoft-Windows-Sysmon', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}', 'channel': 'Microsoft-Windows-Sysmon/Operational', 'api': 'wineventlog', 'process': {'pid': 1692, 'thread': {'id': 1064}}}","{'computer_name': 'CLIENT3.breach.local', 'opcode': 'Info', 'user': {'identifier': 'S-1-5-18', 'name': 'SYSTEM', 'domain': 'NT AUTHORITY', 'type': 'User'}, 'event_data': {'Product': 'FreeSSHDService Module', 'Company': '?', 'LogonId': '0x3e7', 'IntegrityLevel': 'System', 'FileVersion': '1, 3, 1, 26', 'OriginalFileName': 'FreeSSHDService.exe', 'Description': 'FreeSSHDService Module', 'TerminalSessionId': '0', 'LogonGuid': '{19FC45AC-76E7-601C-0000-0020E7030000}'}, 'api': 'wineventlog', 'version': 5, 'process': {'pid': 1904, 'thread': {'id': 308}}, 'event_id': 1, 'provider_name': 'Microsoft-Windows-Sysmon', 'record_id': 1450, 'channel': 'Microsoft-Windows-Sysmon/Operational', 'task': 'Process Create (rule: ProcessCreate)', 'provider_guid': '{5770385F-C22A-43E0-BF4C-06F5698FFBD9}'}"
2021-02-04T20:34:50.509Z,2021-02-04T23:00:37.488Z
